epoch,accuracy,loss,val_accuracy,val_loss
0,0.2847880721092224,3.2041847705841064,0.13494452834129333,5.398070812225342
1,0.4506140351295471,2.4267892837524414,0.26798731088638306,3.4951066970825195
2,0.5229763388633728,2.139934778213501,0.24710775911808014,4.742697715759277
3,0.5662221312522888,1.9623867273330688,0.43680664896965027,2.587141275405884
4,0.6007130742073059,1.8177675008773804,0.5517432689666748,2.1348986625671387
5,0.624640166759491,1.712410569190979,0.5614897012710571,2.0396690368652344
6,0.6481315493583679,1.6236616373062134,0.5554674863815308,2.1415629386901855
7,0.666776716709137,1.5463178157806396,0.6478605270385742,1.655404806137085
8,0.6810246706008911,1.486885666847229,0.57777339220047,1.9837985038757324
9,0.6940842270851135,1.4346160888671875,0.6360538601875305,1.7259109020233154
